,ALPHANUMERIC_CODE,STATION_NAME_ENGLISH,STATION_NAME_CHINESE,LINE_ENGLISH,LINE_CHINESE,LINE_COLOR,OPENING_DATE,TRANSPORT_TYPE,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
0,NS1,Jurong East,裕廊东,North-South Line ,南北线,Red,3/10/1990,MRT,JURONG EAST MRT STATION (EW24 / NS1),10,JURONG EAST STREET 12,JURONG EAST MRT STATION (EW24 / NS1),10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690,609690,17869.05705,35038.96887,1.333152816,103.7422863
1,NS2,Bukit Batok,武吉巴督,North-South Line ,南北线,Red,3/10/1990,MRT,BUKIT BATOK MRT STATION (NS2),10,BUKIT BATOK CENTRAL,BUKIT BATOK MRT STATION (NS2),10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958,659958,18679.32232,36794.92602,1.349033312,103.7495665
2,NS3,Bukit Gombak,武吉甘柏,North-South Line ,南北线,Red,3/10/1990,MRT,BUKIT GOMBAK MRT STATION (NS3),802,BUKIT BATOK WEST AVENUE 5,BUKIT GOMBAK MRT STATION (NS3),802 BUKIT BATOK WEST AVENUE 5 BUKIT GOMBAK MRT STATION (NS3) SINGAPORE 659083,659083,18926.9127,37854.03588,1.358611591,103.7517909
3,NS4,Choa Chu Kang,蔡厝港,North-South Line ,南北线,Red,3/10/1990,MRT,CHOA CHU KANG MRT STATION (NS4),10,CHOA CHU KANG AVENUE 4,CHOA CHU KANG MRT STATION (NS4),10 CHOA CHU KANG AVENUE 4 CHOA CHU KANG MRT STATION (NS4) SINGAPORE 689810,689810,18101.2472,40812.12161,1.385363165,103.7443708
4,NS5,Yew Tee,油池,North-South Line ,南北线,Red,2/10/1996,MRT,YEW TEE MRT STATION (NS5),61,CHOA CHU KANG DRIVE,YEW TEE MRT STATION (NS5),61 CHOA CHU KANG DRIVE YEW TEE MRT STATION (NS5) SINGAPORE 689715,689715,18438.98312,42158.0181,1.397535069,103.7474052
5,NS7,Kranji,克兰芝,North-South Line ,南北线,Red,2/10/1996,MRT,KRANJI MRT STATION (NS7),960,WOODLANDS ROAD,KRANJI MRT STATION (NS7),960 WOODLANDS ROAD KRANJI MRT STATION (NS7) SINGAPORE 738702,738702,20078.58651,45204.51685,1.425086981,103.7621375
6,NS8,Marsiling,马西岭,North-South Line ,南北线,Red,2/10/1996,MRT,MARSILING MRT STATION (NS8),71,WOODLANDS AVENUE 3,MARSILING MRT STATION (NS8),71 WOODLANDS AVENUE 3 MARSILING MRT STATION (NS8) SINGAPORE 739044,739044,21407.04132,46026.51253,1.432521149,103.7740746
7,NS9,Woodlands,兀兰,North-South Line ,南北线,Red,2/10/1996,MRT,WOODLANDS MRT STATION (NS9),30,WOODLANDS AVENUE 2,WOODLANDS MRT STATION (NS9),30 WOODLANDS AVENUE 2 WOODLANDS MRT STATION (NS9) SINGAPORE 738343,738343,22741.59819,46501.7861,1.43681963,103.7860668
8,NS10,Admiralty,海军部,North-South Line ,南北线,Red,2/10/1996,MRT,ADMIRALTY MRT STATION (NS10),70,WOODLANDS AVENUE 7,ADMIRALTY MRT STATION (NS10),70 WOODLANDS AVENUE 7 ADMIRALTY MRT STATION (NS10) SINGAPORE 738344,738344,24402.38663,46918.5068,1.440588562,103.8009905
9,NS11,Sembawang,三巴旺,North-South Line ,南北线,Red,2/10/1996,MRT,SEMBAWANG MRT STATION (NS11),11,CANBERRA ROAD,SEMBAWANG MRT STATION (NS11),11 CANBERRA ROAD SEMBAWANG MRT STATION (NS11) SINGAPORE 759775,759775,26522.98826,47854.19984,1.449050822,103.8200461
10,NS12,Canberra,坎贝拉,North-South Line ,南北线,Red,11/2/2019,MRT,CANBERRA MRT STATION (NS12),11,CANBERRA LINK,CANBERRA MRT STATION (NS12),11 CANBERRA LINK CANBERRA MRT STATION (NS12) SINGAPORE 756972,756972,27597.59694,47193.60088,1.443076641,103.8297026
11,NS13,Yishun,义顺,North-South Line ,南北线,Red,12/20/1988,MRT,YISHUN MRT STATION (NS13),301,YISHUN AVENUE 2,YISHUN MRT STATION (NS13),301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093,769093,28187.67882,45686.07054,1.429443085,103.835005
12,NS14,Khatib,卡迪,North-South Line ,南北线,Red,12/20/1988,MRT,KHATIB MRT STATION (NS14),201,YISHUN AVENUE 2,KHATIB MRT STATION (NS14),201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092,769092,27962.31086,44352.56799,1.41738337,103.8329799
13,NS15,Yio Chu Kang,杨厝港,North-South Line ,南北线,Red,11/7/1987,MRT,YIO CHU KANG MRT STATION (NS15),3000,ANG MO KIO AVENUE 8,YIO CHU KANG MRT STATION (NS15),3000 ANG MO KIO AVENUE 8 YIO CHU KANG MRT STATION (NS15) SINGAPORE 569813,569813,29294.12623,40413.06264,1.381755871,103.8449473
14,NS16,Ang Mo Kio,宏茂桥,North-South Line ,南北线,Red,11/7/1987,MRT,ANG MO KIO MRT STATION (NS16),2795,ANG MO KIO AVENUE 8,ANG MO KIO MRT STATION (NS16),2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812,569812,29807.26115,39105.736,1.36993285,103.8495581
15,NS17,Bishan,碧山,North-South Line ,南北线,Red,11/7/1987,MRT,BISHAN MRT STATION (NS17),200,BISHAN ROAD,BISHAN MRT STATION (NS17),200 BISHAN ROAD BISHAN MRT STATION (NS17) SINGAPORE 579827,579827,29649.89881,36994.43302,1.350838988,103.848144
16,NS18,Braddell,布莱德,North-South Line ,南北线,Red,11/7/1987,MRT,BRADDELL MRT STATION (NS18),377,LORONG 1 TOA PAYOH,BRADDELL MRT STATION (NS18),377 LORONG 1 TOA PAYOH BRADDELL MRT STATION (NS18) SINGAPORE 319756,319756,29500.23495,35847.77198,1.340469001,103.8467991
17,NS19,Toa Payoh,大巴窑,North-South Line ,南北线,Red,11/7/1987,MRT,TOA PAYOH MRT STATION (NS19),510,LORONG 6 TOA PAYOH,TOA PAYOH MRT STATION (NS19),510 LORONG 6 TOA PAYOH TOA PAYOH MRT STATION (NS19) SINGAPORE 319398,319398,29578.48907,34980.89629,1.332629281,103.8475022
18,NS20,Novena,诺维娜,North-South Line ,南北线,Red,12/12/1987,MRT,NOVENA MRT STATION (NS20),250,THOMSON ROAD,NOVENA MRT STATION (NS20),250 THOMSON ROAD NOVENA MRT STATION (NS20) SINGAPORE 307642,307642,29169.32979,33633.15354,1.320440791,103.8438256
19,NS21,Newton,纽顿,North-South Line ,南北线,Red,12/12/1987,MRT,NEWTON MRT STATION (NS21),49,SCOTTS ROAD,NEWTON MRT STATION (NS21),49 SCOTTS ROAD NEWTON MRT STATION (NS21) SINGAPORE 228234,228234,28519.28307,32735.07704,1.312318922,103.8379846
20,NS22,Orchard,乌节,North-South Line ,南北线,Red,12/12/1987,MRT,ORCHARD MRT STATION (NS22),437,ORCHARD ROAD,ORCHARD MRT STATION (NS22),437 ORCHARD ROAD ORCHARD MRT STATION (NS22) SINGAPORE 238878,238878,27880.54765,31813.01658,1.303980137,103.8322452
21,NS23,Somerset,索美塞,North-South Line ,南北线,Red,12/12/1987,MRT,SOMERSET MRT STATION (NS23),1,SOMERSET ROAD,SOMERSET MRT STATION (NS23),1 SOMERSET ROAD SOMERSET MRT STATION (NS23) SINGAPORE 238162,238162,28641.83466,31402.12452,1.300264167,103.8390858
22,NS24,Dhoby Ghaut,多美歌,North-South Line ,南北线,Red,12/12/1987,MRT,DHOBY GHAUT MRT STATION (NS24),11,ORCHARD ROAD,DHOBY GHAUT MRT STATION (NS24),11 ORCHARD ROAD DHOBY GHAUT MRT STATION (NS24) SINGAPORE 238826,238826,29423.98045,31229.31637,1.298701325,103.8461137
23,NS25,City Hall,政府大厦,North-South Line ,南北线,Red,12/12/1987,MRT,CITY HALL MRT STATION (EW13 / NS25),150,NORTH BRIDGE ROAD,CITY HALL MRT STATION (EW13 / NS25),150 NORTH BRIDGE ROAD CITY HALL MRT STATION (EW13 / NS25) SINGAPORE 179100,179100,30144.25038,30591.90081,1.292936722,103.8525856
24,NS26,Raffles Place,莱佛士坊,North-South Line ,南北线,Red,12/12/1987,MRT,RAFFLES PLACE MRT STATION (EW14 / NS26),5,RAFFLES PLACE,RAFFLES PLACE MRT STATION (EW14 / NS26),5 RAFFLES PLACE RAFFLES PLACE MRT STATION (EW14 / NS26) SINGAPORE 048618,48618,30019.18053,29617.61258,1.28412561,103.8514617
25,NS27,Marina Bay,滨海湾,North-South Line ,南北线,Red,11/4/1989,MRT,MARINA BAY MRT STATION (NS27),21,PARK STREET,MARINA BAY MRT STATION (NS27),21 PARK STREET MARINA BAY MRT STATION (NS27) SINGAPORE 018925,18925,30367.95472,28764.49593,1.276410299,103.8545955
26,NS28,Marina South Pier,滨海南码头,North-South Line ,南北线,Red,11/23/2014,MRT,MARINA SOUTH PIER MRT STATION (NS28),33,MARINA COASTAL DRIVE,MARINA SOUTH PIER MRT STATION (NS28),33 MARINA COASTAL DRIVE MARINA SOUTH PIER MRT STATION (NS28) SINGAPORE 018948,18948,31241.82601,28169.25109,1.271027036,103.8624475
27,EW1,Pasir Ris,巴西立,East-West Line,东西线,Green,12/16/1989,MRT,PASIR RIS MRT STATION (EW1),10,PASIR RIS CENTRAL,PASIR RIS MRT STATION (EW1),10 PASIR RIS CENTRAL PASIR RIS MRT STATION (EW1) SINGAPORE 519634,519634,40905.59746,39449.98234,1.373043316,103.9492845
