Arrival_Time,Station,travel_time,station_code
11:52:42,woodlands north,0:00:00,TE1
11:54:38,woodlands,0:01:56,TE2
11:57:10,woodlands south,0:02:32,TE3
12:01:35,springleaf,0:04:25,TE4
12:04:38,lentor,0:03:03,TE5
12:06:57,mayflower,0:02:19,TE6
12:09:06,bright hill,0:02:09,TE7
12:11:50,upper thomson,0:02:44,TE8
12:15:10,caldecott,0:03:20,TE9
12:18:47,stevens,0:03:37,TE11
12:21:57,napier,0:03:10,TE12
12:23:59,orchard boulevard,0:02:02,TE13
12:26:07,orchard,0:02:08,TE14
12:28:29,great world,0:02:22,TE15
12:29:59,havelock,0:01:30,TE16
12:31:51,outram park,0:01:52,TE17
12:33:33,maxwell,0:01:42,TE18
12:35:32,shenton way,0:01:59,TE19
12:37:21,marina bay,0:01:49,TE20
12:40:05,gardens by the bay,0:02:44,TE22
12:43:23,tanjong rhu,0:03:18,TE23
12:45:28,katong park,0:02:05,TE24
12:47:40,tanjong katong,0:02:12,TE25
12:49:33,marine parade,0:01:53,TE26
12:51:47,marine terrace,0:02:14,TE27
12:54:07,siglap,0:02:20,TE28
12:56:17,bayshore,0:02:10,TE29
13:26:01,marina south pier,0:00:00,NS28
13:28:10,marina bay,0:02:09,NS27
13:37:15,raffles place,0:09:05,NS26
13:39:12,city hall,0:01:57,NS25
13:41:32,dhoby ghaut,0:02:20,NS24
13:43:39,somerset,0:02:07,NS23
13:46:01,(orchard),0:02:22,NS22
13:48:36,newton,0:02:35,NS21
13:50:57,novena,0:02:21,NS20
13:53:23,toa payoh,0:02:26,NS19
13:55:54,braddell,0:02:31,NS18
13:58:50,bishan,0:02:56,NS17
14:01:54,ang mo kio,0:03:04,NS16
14:04:34,yio chu kang,0:02:40,NS15
14:09:46,khatib,0:05:12,NS14
14:11:55,yishun,0:02:09,NS13
14:15:02,canberra,0:03:07,NS12
14:17:33,sembawang,0:02:31,NS11
14:21:20,admiralty,0:03:47,NS10
14:23:44,(woodlands),0:02:24,NS9
14:26:07,marsiling,0:02:23,NS8
14:28:30,kranji,0:02:23,NS7
14:32:54,yew tee,0:04:24,NS5
14:36:22,choa chu kang,0:03:28,NS4
14:40:13,bukit gombak,0:03:51,NS3
14:42:44,bukit batok,0:02:31,NS2
14:46:02,jurong east,0:03:18,NS1
15:14:19,tuas link,0:00:00,EW33
15:12:09,tuas west road,0:02:10,EW32
15:09:59,tuas crescent,0:02:10,EW31
15:07:24,gul circle,0:02:35,EW30
15:03:33,joo koon,0:03:51,EW29
14:59:47,pioneer,0:03:46,EW28
14:57:30,boon lay,0:02:17,EW27
14:54:47,lakeside,0:02:43,EW26
14:52:40,chinese garden,0:02:07,EW25
14:50:30,jurong east,0:02:10,EW24
15:46:01,clementi,0:55:31,EW23
15:48:39,dover,0:02:38,EW22
15:50:51,buona vista,0:02:12,EW21
15:53:00,commonwealth,0:02:09,EW20
15:55:19,queenstown,0:02:19,EW19
15:57:43,redhill,0:02:24,EW18
16:00:17,tiong bahru,0:02:34,EW17
16:03:17,(outram park),0:03:00,EW16
16:05:27,tanjong pagar,0:02:10,EW15
16:07:45,(raffles place),0:02:18,EW14
16:10:15,(city hall),0:02:30,EW13
16:12:32,bugis,0:02:17,EW12
16:14:52,lavender,0:02:20,EW11
16:16:59,kallang,0:02:07,EW10
16:19:44,aljunied,0:02:45,EW9
16:22:07,paya lebar,0:02:23,EW8
16:24:32,eunos,0:02:25,EW7
16:26:29,kembangan,0:01:57,EW6
16:29:09,bedok,0:02:40,EW5
16:33:23,tanah merah,0:04:14,EW4
16:37:18,simei,0:03:55,EW3
16:40:01,tampines,0:02:43,EW2
16:44:30,pasir ris,0:04:29,EW1
17:01:58,(tanah merah),0:00:00,CG0
17:04:23,expo,0:02:25,CG1
17:10:33,changi airport,0:06:10,CG2
17:20:06,(expo),0:00:00,DT35
17:21:27,upper changi,0:01:21,DT34
17:24:57,tampines east,0:03:30,DT33
17:27:01,(tampines),0:02:04,DT32
17:29:25,tampines west,0:02:24,DT31
17:31:48,bedok reservoir,0:02:23,DT30
17:34:10,bedok north,0:02:22,DT29
17:36:20,kaki bukit,0:02:10,DT28
17:37:59,ubi,0:01:39,DT27
17:39:45,macpherson,0:01:46,DT26
17:41:55,mattar,0:02:10,DT25
17:44:17,geylang bahru,0:02:22,DT24
17:46:24,bendemeer,0:02:07,DT23
17:48:20,jalan besar,0:01:56,DT22
17:49:57,bencoolen,0:01:37,DT21
17:51:43,fort canning,0:01:46,DT20
17:53:54,chinatown,0:02:11,DT19
17:55:31,telok ayer,0:01:37,DT18
17:57:02,downtown,0:01:31,DT17
